id,term,category,definition,aliases
term.importance_of_amendments_in_real_estate,Importance of amendments in real estate,Other,"Property amendments serve as a means of modifying existing agreements or laws without entirely discarding them. They allow for flexibility and adaptation over time, which is vital in a rapidly evolving city-state like Singapore, where social, economic, and technological changes are constantly taking place. Property amendments can be instrumental in maintaining current legal standards and ensuring the fairness and relevance of laws and regulations in the real estate sector. [HEADING-H3] Conclusion Property amendments play a pivotal role in Singapore’s real estate contracts, offering the necessary flexibility to adapt to changing circumstances. Understanding how to effectively use property amendments can assist parties in navigating negotiations and reaching satisfactory agreements. These amendments are often integrated into the relevant sections of the original document. If they’re extensive, it may be more practical to rewrite the document incorporating the changes entirely. Property amendments can be instrumental in maintaining current legal standards and ensuring the fairness and relevance of laws and regulations in Singapore’s real estate sector.  Source: Amendments  https://www.99.co/singapore/glossary/the-power-of-amendments-in-real-estate-contracts/  (index: Amendments)",
term.land_theft_through_fear_the_devastating_reality_of_intimidation_tactics_in_land_grabbing,Land theft through fear: The devastating reality of intimidation tactics in land grabbing,Other,"Land grabbing refers to illegally or fraudulently acquiring land that a person or party is not legally entitled to. This often involves intimidation tactics such as threats or the use of force to compel the legal owner to give up their land. Though land disputes are not uncommon, especially in developing countries, the practice of land grabbing through intimidation is illegal, unethical, and causes great distress. One common tactic is when an individual or business coerces farmers into handing over the land title through deception, manipulation, or outright threats. They may take advantage of poor, uneducated farmers who lack the resources to defend their rights. Violence is also used in some cases, where armed gangs force people off their ancestrally owned land. Some common methods of illegal land grabbing through intimidation include: • Making false claims to the land with forged title deeds or other fraudulent documents. This is common when land records are poorly maintained. • Threatening violence or retaliation against the landowner and their family if they do not comply with demands to give up the land. This can involve verbal threats or physical assault. • Destroying or damaging property, livestock, crops, or homes is an act of intimidation. The aim is to make continued ownership practically impossible. • Bribing local officials to turn a blind eye or actively assist with the illegal land seizure. • Taking advantage of political instability, weak governance, and lack of legal protections in certain regions. Land grabbing affects vulnerable groups worldwide, especially rural farmers in developing nations. However, it violates basic human rights and causes emotional trauma in addition to financial loss. Intimidation is an unscrupulous method to acquire land illegally at the expense of others. Governments must strengthen property laws, improve land record-keeping, and prosecute land grabbers to protect owner rights. Victims should also unite with local and international advocacy groups working against land grabbing. With vigilance and a stand for human rights, communities can counter intimidation and uphold justice.  Source: Intimidation  https://www.99.co/singapore/glossary/intimidation/  (index: Intimidation)",LT
term.serviced_apartments,serviced apartments,Other,"Serviced apartments, also known as service apartments or SAs, are fully furnished apartments that offer a seamless blend of home comforts and hotel-like facilities. These apartments cater to a diverse range of residents, including expatriates, business travellers, families, and tourists. Featuring complete furnishings and essential appliances, serviced apartments provide the convenience of kitchenettes or full kitchens. Alongside these amenities, residents can enjoy various support services such as concierge assistance, common dining areas, housekeeping, and laundry facilities. Location plays a vital role in the appeal of serviced apartments. They are often strategically positioned in sought-after neighbourhoods close to business districts, shopping centres, dining options, and transportation hubs. This proximity grants residents easy access to amenities, services, and public transportation, enhancing convenience and facilitating the exploration of the city and its surroundings. Serviced apartments typically require a minimum stay of seven days or longer. Residents also have the option to choose longer stays, accommodating various needs, whether it’s a short business trip, temporary relocation, or an extended stay. Renting a serviced apartment offers a luxurious living experience at a more affordable price compared to staying in a hotel. Furthermore, individuals planning to stay for an extended period can benefit from tax savings.  Source: Serviced apartments  https://www.99.co/singapore/glossary/serviced-apartments/  (index: Serviced apartments)",What are serviced apartments?
term.cost_of_serviced_apartments,cost of serviced apartments,Other,"Generally, serviced apartments are priced higher than traditional rental apartments due to their added convenience and services, reflecting the additional convenience and services they offer. The cost of serviced apartments in Singapore varies depending on location, size, facilities, and duration of stay, ranging from S$1,000 to S$10,000.  Source: Serviced apartments  https://www.99.co/singapore/glossary/serviced-apartments/  (index: Serviced apartments)",What is the cost of serviced apartments?
term.are_serviced_apartments_legal_in_singapore,Are serviced apartments legal in Singapore,Agency&Authority,"The legality of serviced apartments in Singapore is governed by the Urban Redevelopment Authority (URA) guidelines. These guidelines allow serviced apartments in certain areas, including residential zones and mixed-use sites where residential use is permitted. However, strata subdivision of serviced apartments is strictly prohibited. This means serviced apartments must be developed and managed under a single ownership structure.  Source: Serviced apartments  https://www.99.co/singapore/glossary/serviced-apartments/  (index: Serviced apartments)",AS
term.is_a_serviced_apartment_a_good_investment,Is a serviced apartment a good investment,Other,"Investing in serviced apartments can offer several advantages. Firstly, the demand for serviced apartments in Singapore is driven by factors such as business travel, relocation, and tourism. The city-state attracts many expatriates, corporate travellers, and tourists seeking the convenience and comfort of serviced apartments. This consistent demand can translate into higher occupancy rates and investor rental yields. Additionally, serviced apartments can offer greater flexibility compared to traditional rental properties. Depending on market conditions and personal preferences, investors can choose to rent out their units for short-term or long-term stays. This flexibility increases rental rates during peak periods, such as major events or holiday seasons. Moreover, serviced apartments are typically managed by professional operators who handle property maintenance, guest services, and marketing. This can relieve investors of the day-to-day management responsibilities and ensure a hassle-free investment experience. However, it’s important for investors to carefully evaluate the potential risks and challenges associated with serviced apartments. Market fluctuations, changes in regulations, and competition from other accommodation options can impact the profitability of the investment. Conducting thorough market research, understanding the target tenant profile, and working with reputable operators are essential steps to mitigate these risks.  Source: Serviced apartments  https://www.99.co/singapore/glossary/serviced-apartments/  (index: Serviced apartments)",
term.proration,proration,Other,"Proration is the division of certain costs between the buyer and seller at the closing of a real estate transaction. In Singapore’s real estate market, proration can be used to divide costs such as property taxes or utility bills.  Source: Proration  https://www.99.co/singapore/glossary/proration-definition-understanding-and-importance/  (index: Proration)",What is proration?
term.understanding_proration,Understanding proration:,Other,"Proration involves dividing ongoing expenses or income between the buyer and seller based on the closing date of the transaction. For instance, if a property is sold in the middle of a month, the seller might be responsible for half of that month’s property taxes, with the buyer responsible for the other half. Proration can apply to various types of expenses or income, including property taxes, homeowners association fees, rent, or utility bills.  Source: Proration  https://www.99.co/singapore/glossary/proration-definition-understanding-and-importance/  (index: Proration)",
term.importance_of_proration_in_real_estate,Importance of proration in real estate,Other,"In the context of real estate transactions, proration ensures that the buyer and seller each pay their fair share of ongoing expenses or income. It’s a common practice in real estate transactions and is usually negotiated as part of the closing process. In Singapore, proration can be particularly important in transactions involving rental properties, where the rent and other ongoing expenses need to be divided between the buyer and seller. [HEADING-H3] Conclusion Proration is a crucial part of real estate transactions, ensuring that ongoing expenses or income are fairly divided between the buyer and seller. Understanding this process can help buyers and sellers navigate their transactions more effectively. However, proration can be a complex process, and it’s often advisable to seek the assistance of a real estate professional or attorney.  Source: Proration  https://www.99.co/singapore/glossary/proration-definition-understanding-and-importance/  (index: Proration)",
term.the_art_of_the_deal_how_mediation_helps_opposing_parties_find_common_ground,The art of the deal: How mediation helps opposing parties find common ground,Other,"In any negotiation or dispute, parties often become entrenched in their positions and fail to see potential areas for compromise. Emotions run high, communication breaks down, and progress stalls. However, with the help of an impartial mediator, even the most contentious disagreements can move toward resolution. Mediation provides a structured process for opponents to find common ground. [HEADING-H3] The mediator’s role Unlike a judge or arbitrator who decides the outcome, a mediator facilitates communication and guides the parties themselves to a mutually agreeable settlement. The mediator creates a safe space for open dialogue, ensuring all voices are heard. They identify key issues, interests, and needs on each side. By translating anger into understanding, a skilled mediator transforms conflict into cooperation. The mediator asks probing questions to uncover why the dispute arose and what is truly at stake. Oftentimes, beneath the surface arguments lie deeper motivations – the real roots of discord. For example, noise complaints between neighbours may stem from a need for security, not just annoyance. The mediator helps reframe positions into interests to find win-win solutions. [HEADING-H3] Moving from positions to interests Rather than locking into rigid stances, mediation encourages flexibility. Parties shift focus from hardened positions to the underlying interests, needs, and concerns that drive them. New options emerge as shared goals are uncovered. A business dispute over contract terms may reveal mutual interests in profitability and continued partnership. Suddenly, collaborative problem-solving becomes possible. Parties also begin to understand the legitimacy of the other side’s perspective. Empathy develops, tensions ease, and creative problem-solving expands. Vision broadens from narrow self-interest to the bigger picture and collective good. [HEADING-H3] The win-win mindset Ultimately, mediation is about finding win-win solutions that work for all involved. When parties reach a mutual understanding and satisfy core interests, durable agreements result. Mediation transforms the mindset from adversarial to cooperative, from zero-sum to positive sum. With an expert mediator’s guidance, skilful negotiation turns conflict into an opportunity for gain rather than loss. Even bitter foes can find common ground with the art of the deal that mediation facilitates. Mediation provides a path beyond impasse for opposing parties. Through facilitated dialogue, shared interests are uncovered, innovative solutions emerge, and mutually beneficial settlements are reached. With patience and an open mind, the art of negotiation can lead to breakthroughs where all sides feel heard, respected, and satisfied.  Source: Mediation  https://www.99.co/singapore/glossary/mediation/  (index: Mediation)",TH
term.home_protection_scheme_hps,Home Protection Scheme (HPS),HDB,"The Home Protection Scheme (HPS) is an insurance that reduces mortgages. The scheme aims to safeguard HDB owners from unforeseen circumstances that could hinder them from repaying their housing loans. Administered by the Central Provident Fund Board (CPFB), HPS provides claim eligibility to your family if you pass away, get diagnosed with a terminal illness, or become permanently disabled. The claim amount from HPS is the remaining balance of your HDB home loan. In other words, if you pass away with S$50,000 still owed in your housing loan, HPS will cover the entire amount, relieving your family of the repayment burden. HPS is comparable to mortgage insurance policies offered by some insurance companies. If you purchase an HDB flat with HPS coverage, there is no need to buy a separate insurance policy. It’s also worth noting that HPS is significantly less expensive than other private mortgage insurance.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",What is the Home Protection Scheme (HPS)?|Home Protection Scheme|HPS
term.how_long_does_coverage_under_the_home_protection_scheme_hps_last,How long does coverage under the Home Protection Scheme (HPS) last,Other,"HPS members are covered until they reach age 65 or until their mortgages are paid off, whichever comes first.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",HPS|HHPS
term.how_to_be_eligible_for_the_home_protection_scheme_hps_coverage,How to be eligible for the Home Protection Scheme (HPS) coverage,Finance&Rates,"To be eligible for HPS coverage, you need to be in good health. You are not eligible for HPS if you have major pre-existing medical conditions such as kidney failure, cancer, liver failure or transplant, or diabetes with complications like retinopathy or nephropathy. However, you can still use your CPF funds to repay your mortgage. Rather than having a comprehensive list of pre-existing conditions, the CPF Board reviews each case based on the severity, prognosis, and management of the medical condition and the applicant’s health risk profile.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",HPS|HHPS
term.what_kinds_of_conditions_are_not_covered_by_hps_claims,What kinds of conditions are not covered by HPS claims,Other,"HPS, like other insurance policies, has certain exclusions that prevent claims from being made during the first year of coverage if death or permanent incapacitation is caused by self-harm, suicide, a criminal offence carrying a death sentence, or an intentional criminal act. Claims also cannot be made under HPS if any of the information provided during the application was incorrect or deceptive or if the claim stemmed from participation in a conflict or riot.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",HPS
term.is_the_home_protection_scheme_hps_mandatory,Is the Home Protection Scheme (HPS) mandatory,HDB,"The Central Provident Fund (CPF) Board mandates the Home Protection Scheme (HPS) for Singaporeans who use CPF to partially or fully pay for their monthly home loan payments unless they have an exemption or pre-existing condition that disqualifies them. However, if you are not utilising CPF funds to pay for your home loan, you can still opt for coverage under HPS. HPS exclusively applies to HDB or DBSS flats, but not to private residences such as condominiums, executive condominiums (ECs), HUDC flats, and landed properties. Furthermore, HPS only applies if you have a housing loan.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",HPS|IHPS
term.home_protection_scheme_hps_exemptions,Home Protection Scheme (HPS) exemptions,HDB,"You can only be exempt from the Home Protection Scheme (HPS) if your personal insurance plans fully cover the remaining loan amount for your HDB flat in case of death, terminal illness, or permanent disability. This coverage should last until your loan ends or until you turn 65, whichever happens first. You can use the following types of insurance policies, either traditional or investment-linked, to back your application for exemption: • Whole Life • Term Life • Endowments • Life Riders (must be attached to a basic policy) • Mortgage Reducing Term Assurance (MRTA)/Decreasing Term Rider  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",What are Home Protection Scheme (HPS) exemptions?|HPS
term.how_much_is_the_home_protection_scheme_hps_premium,How much is the Home Protection Scheme (HPS) Premium,Other,"HPS premiums are determined based on five factors; • The outstanding housing loan • Loan repayment period • Type of loan (concessionary or market rate) • Age and gender of the member • And the percentage share of cover for the flat. You must only pay premiums for 90% of your HPS coverage period. It means that if you need coverage for 25 years, you will only have to pay premiums for the first 22.5 years. The remaining 2.5 years of coverage will not require any premium payments.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",HPS|HHPSP
term.how_to_pay_for_the_home_protection_scheme_hps,How to pay for the Home Protection Scheme (HPS),Other,"You can pay your HPS premiums using your CPF Ordinary Account (OA) funds. The amount is automatically deducted on an annual basis. If your OA does not have enough funds, you must make a cash payment to avoid any impact on your HPS coverage. Alternatively, your co-owner can authorise CPF to deduct premiums from their CPF account to pay for your HPS coverage.  Source: Home Protection Scheme (HPS)  https://www.99.co/singapore/glossary/home-protection-scheme-hps/  (index: Home Protection Scheme (HPS))",How to pay for the Home Protection Scheme|HPS|HHPS
term.vesting,vesting,Legal&Docs,"Vesting refers to how ownership of real estate is held. When you purchase a home, the deed and title to the property must be vested, or granted, to the owner or owners. There are several common ways homes can be vested: • Sole ownership: The home is titled and deeded only to one individual. This is the simplest form of vesting. • Joint tenancy: Joint tenancy establishes equal ownership interest between two or more people. If one owner dies, their share automatically goes to the surviving owner(s). This avoids probate. • Tenancy in common: Like joint tenancy, tenancy in common involves shared ownership between two or more people. However, each owner holds a separate share that can be willed to another person upon death. • Community property: In some states, property acquired during a marriage is considered jointly owned by both spouses. Each spouse has an undivided equal interest. • Trusts: Property can be titled and ownership vested into a living trust. This allows a designated person to manage the property on behalf of the beneficiaries. [HEADING-H3] Choosing the right vesting When purchasing a home, it’s important to consider how you want the property vested. This decision should be made carefully with your plans for the home in mind. If you purchase with a spouse or partner, joint tenancy with the right of survivorship ensures your partner will inherit your share. For unrelated co-buyers, tenancy in common allows more flexibility. Trusts can be useful for estate planning purposes. Consult with a real estate attorney to decide the optimal vesting method for your situation. Vesting protects your rights and outlines exactly who owns the property. Be sure to understand this legal component before buying or selling real estate. With the right vesting approach, you can avoid complications down the road.  Source: Vesting  https://www.99.co/singapore/glossary/what-is-vesting-in-real-estate/  (index: Vesting)",What is vesting?
term.abatement,abatement,Other,"Abatement is a reduction or an exemption of tax, debt, or rent. In the context of Singapore’s real estate market, property tax abatements can be used as incentives for property development or renovation.  Source: Abatement  https://www.99.co/singapore/glossary/abatement-definition-understanding-importance/  (index: Abatement)",What is abatement?
term.understanding_abatement,Understanding abatement,Other,"An abatement often aims to encourage certain activities by reducing the financial burden of those activities. It can be a powerful tool for local governments to encourage development or renovation in certain areas. Abatements can be temporary or permanent, and they can apply to various types of taxes, including property taxes, sales taxes, or income taxes.  Source: Abatement  https://www.99.co/singapore/glossary/abatement-definition-understanding-importance/  (index: Abatement)",
term.importance_of_abatement_in_real_estate,Importance of abatement in real estate,Other,"In the real estate sector, property tax abatements can be used as incentives for property development or renovation. For instance, a local government might offer a tax abatement to encourage the development of affordable housing in a certain area. In Singapore, the government has used tax abatements and other incentives to encourage the development of certain types of real estate, such as green buildings. [HEADING-H3] Conclusion Abatements can play a significant role in real estate, providing incentives for property development or renovation. Understanding how abatements work can help investors and developers make informed decisions about property investments. However, the process of applying for and receiving a tax abatement can be complex, and it’s often advisable to seek professional advice.  Source: Abatement  https://www.99.co/singapore/glossary/abatement-definition-understanding-importance/  (index: Abatement)",
term.psi,PSI,Other,"PSI, or Pollutant Standards Index, is a measure of air quality. In Singapore, PSI levels can have an impact on real estate, affecting both residential and commercial properties.  Source: PSI (Pollutant Standards Index)  https://www.99.co/singapore/glossary/psi-definition-understanding-and-importance/  (index: PSI (Pollutant Standards Index))",What is PSI?
term.understanding_psi,Understanding PSI,Other,"The PSI is a number used by governments to inform the public about the level of air pollution. It can range from 0 to 500, with higher numbers indicating worse air quality. The PSI takes into account several pollutants, including particulate matter, sulphur dioxide, carbon monoxide, nitrogen dioxide, and ozone.  Source: PSI (Pollutant Standards Index)  https://www.99.co/singapore/glossary/psi-definition-understanding-and-importance/  (index: PSI (Pollutant Standards Index))",PSI
term.importance_of_psi_in_real_estate,Importance of PSI in real estate,Other,"In the context of Singapore’s real estate market, high PSI levels can affect property values and rental rates. For instance, properties in areas with consistently high PSI levels might be less desirable, leading to lower property values or rental rates. On the other hand, properties with features that can mitigate the effects of poor air quality, such as advanced HVAC systems or indoor air purifiers, might be more desirable in areas with high PSI levels. [HEADING-H3] Conclusion PSI levels can have an impact on real estate in Singapore, affecting property values and rental rates. Understanding this can help property owners, investors, and tenants make informed decisions. However, dealing with high PSI levels can be challenging, and it’s often advisable to seek professional advice on how to mitigate the effects of poor air quality.  Source: PSI (Pollutant Standards Index)  https://www.99.co/singapore/glossary/psi-definition-understanding-and-importance/  (index: PSI (Pollutant Standards Index))",PSI
term.the_power_of_bonds_how_they_secure_real_estate_deals_and_protect_your_investment,The power of bonds: How they secure real estate deals and protect your investment,Other,"Real estate deals can be risky business. The process of buying, selling, or developing property often requires large investments upfront, with the hope of profits down the road. However, unforeseen circumstances can derail a real estate project, leaving investors exposed. This is where the power of bonds comes in. [HEADING-H3] What is a bond? A bond is a financial instrument that provides a form of insurance on a real estate project. The three main types of bonds used in real estate are: • Bid bonds – A guarantee a contractor will follow through on their bid for a project. • Performance bonds – A guarantee a contractor will complete the project as specified in the contract. • Payment Bonds – Guarantee subcontractors and suppliers will be paid for their work. • The party purchasing the bond pays a premium to the surety company issuing the bond. If the bonded party fails to uphold their end of the deal, the surety company pays the damages up to the bond amount to make the injured party whole. [HEADING-H3] Securing the deal For real estate investors, requiring bonding from contractors is a prudent way to secure deals and mitigate risks. Bid bonds weed out contractors who cannot complete a project. Performance and payment bonds provide assurance contractors will perform the work properly and pay their subcontractors. This transfers risk away from the investor. Without these bonds, investors take on substantial risks in hiring contractors. Shoddy workmanship, cost overruns, and abandoned projects can quickly turn profits into losses. Requiring bonding aligns incentives and ensures contractors have skin in the game. [HEADING-H3] Protecting your investment Bonding also plays a vital role in protecting investments if problems do arise. For example, if a contractor fails to complete a project, the surety company behind the performance bond will step in to find a new contractor or provide financial compensation. This protects the investor’s capital outlay. Likewise, payment bonds give subcontractors and suppliers recourse if the general contractor fails to pay. The surety company satisfies these obligations, preventing liens on the property that could inhibit sale or occupancy. This preserves the asset’s value. Bonds provide a crucial backstop for real estate investors, limiting financial risk and preventing deals from going sideways. Given the large sums often involved, paying bond premiums is inexpensive and worthwhile insurance. While bonding does not eliminate all real estate risks, its ability to transfer and mitigate key perils makes it an indispensable tool for securing transactions and protecting investments. The power of bonds brings peace of mind to even the most complex deal.  Source: Bonds  https://www.99.co/singapore/glossary/what-is-a-bond/  (index: Bonds)",TH
term.covenant,covenant,Other,"A covenant is a promise in a written contract or deed of real property. In Singapore’s real estate market, covenants are often used to enforce certain restrictions or obligations.  Source: Covenant  https://www.99.co/singapore/glossary/covenant-definition-understanding-and-importance/  (index: Covenant)",What is covenant?
term.understanding_covenant,Understanding covenant,Other,"A covenant in real estate is a promise that a buyer, seller, tenant, or landlord makes regarding the use or maintenance of a property. Covenants can be “positive,” requiring the party to perform certain actions, or “restrictive,” prohibiting the party from certain actions. Covenants are legally binding and can be enforced through legal action if one party fails to fulfil their obligations.  Source: Covenant  https://www.99.co/singapore/glossary/covenant-definition-understanding-and-importance/  (index: Covenant)",
term.importance_of_covenant_in_real_estate_and_property,Importance of covenant in real estate and property,Other,"In the context of real estate, covenants can be used to enforce certain restrictions or obligations. For instance, a covenant might restrict a homeowner from making certain changes to their property in order to maintain the aesthetic of a neighbourhood. Covenants can also be used to enforce maintenance obligations, such as a requirement for a homeowner to maintain their property in a certain condition. In Singapore, covenants are often used in lease agreements, where the tenant agrees to certain terms such as paying rent on time or maintaining the property. They can also be used in property sales contracts, where the buyer and seller agree to certain terms regarding the sale and use of the property. [HEADING-H3] Conclusion Covenants play a crucial role in real estate, helping to enforce certain restrictions or obligations. Understanding how covenants work can help property owners, buyers, and tenants navigate their contractual obligations more effectively. Nevertheless, because covenants are legal obligations, it’s often advisable to seek legal advice when entering into a covenant.  Source: Covenant  https://www.99.co/singapore/glossary/covenant-definition-understanding-and-importance/  (index: Covenant)",
term.equalisation,equalisation,Process,"Equalisation rates play a pivotal role in real estate by ensuring fairness and consistency in property valuation. These rates, also known as assessment ratios or assessment levels, are integral to the property tax system and are used to align property values with market realities. Simply put, equalisation rates are calculated to balance assessed property values with their fair market values.  Source: Equalisation  https://www.99.co/singapore/glossary/equalisation/  (index: Equalisation)",What is equalisation?
term.how_do_equalisation_rates_work,How do equalisation rates work,Other,"They are expressed as a ratio or percentage and reflect the relationship between the assessed value of a property and its actual market value. In a perfect scenario, the equalisation rate would be 100%, indicating that the assessed and market values are identical. However, due to the dynamic nature of real estate markets, assessed values may lag behind or exceed market values. This is where equalisation rates come into play. If an area’s real estate market is experiencing rapid appreciation, property assessments might not keep up with the escalating values. Conversely, assessments could remain higher than the current market conditions warrant in a declining market. Assessors and tax authorities adjust property values using equalisation rates to rectify these discrepancies. For instance, if the equalisation rate is below 100%, it implies that the assessed values need to be increased to align with the market. Conversely, an equalisation rate above 100% signals that assessed values should be reduced to match the market. This process helps ensure that property owners are taxed fairly based on their property’s true value.  Source: Equalisation  https://www.99.co/singapore/glossary/equalisation/  (index: Equalisation)",
term.how_to_calculate_equalisation_rates,How to calculate equalisation rates,Other,"If we have an equalisation rate of 0.80, it means that the value assigned to a property for tax purposes is 80% of its total worth. Let’s imagine there’s a property that’s evaluated to be worth S$100,000, and the equalisation rate is 0.80. To figure out the whole value, the formula employed is: Full Value = Assessed Value divided by Equalisation Rate. This calculation yields a Full Value of S$125,000.  Source: Equalisation  https://www.99.co/singapore/glossary/equalisation/  (index: Equalisation)",
term.what_factors_influence_equalisation_rates,What factors influence equalisation rates,Other,"Several factors influence the determination of equalisation rates, including: • Real estate market trends: The primary driver is the state of the local real estate market. If property values are rapidly increasing or declining, it affects the relationship between assessed values and market values. • Data collection and analysis: Accurate assessment requires reliable data on property sales, local economic conditions, and market trends. Effective data collection and analysis methodologies contribute to more precise equalisation rates. • Property types: Different property types, such as residential, commercial, and industrial, might experience varying market trends, affecting the overall equalisation rate.  Source: Equalisation  https://www.99.co/singapore/glossary/equalisation/  (index: Equalisation)",
term.enhanced_cpf_housing_grant_ehg,Enhanced CPF Housing Grant (EHG),HDB,"The Enhanced CPF Housing Grant (EHG) is a housing grant provided through CPF, specifically designed for first-time flat buyers who are either applying for a new Build-To-Order (BTO) flat or purchasing a resale flat in the open market. Its main purpose is to improve housing affordability and make housing more accessible to Singaporeans.  Source: Enhanced CPF Housing Grant (EHG)  https://www.99.co/singapore/glossary/enhanced-cpf-housing-grant-ehg/  (index: Enhanced CPF Housing Grant (EHG))",What is the Enhanced CPF Housing Grant (EHG)?|Enhanced CPF Housing Grant|EHG|CPF
term.am_i_eligible_for_the_enhanced_housing_grant,Am I eligible for the Enhanced Housing Grant,Other,"To qualify for the EHG, you must meet the following requirements: • You must be a first-time applicant for a flat. • Your average gross monthly household income for the previous 12 months must be below S$9,000. • You must have been continuously employed for the past 12 months before applying for the flat. • The flat must have a lease duration that covers the youngest buyer until they reach the age of 95. If the remaining lease is insufficient, the provided EHG will be prorated accordingly. Exceptions are made for buyers of 2-room Flexi flats on short leases. • You cannot own any private properties or land, whether locally or overseas. Additionally, you should not have disposed of any of these properties within the last 30 months. Note that first-time single citizens purchasing a flat under the Single Singapore Citizen Scheme or Joint Singles Scheme are limited to only buying 2-room Flexi flats. Nonetheless, they can still take advantage of the EHG.  Source: Enhanced CPF Housing Grant (EHG)  https://www.99.co/singapore/glossary/enhanced-cpf-housing-grant-ehg/  (index: Enhanced CPF Housing Grant (EHG))",AEHG
term.how_much_enhanced_cpf_housing_grant_ehg_can_i_get,How much Enhanced CPF Housing Grant (EHG) can I get,Other,"According to the new property cooling measures 2024, eligible first-time families seeking new flats can now receive an EHG of up to S$120,000, while eligible first-time singles can benefit from an EHG (Singles) of up to S$60,000. For eligible first-timer singles who buy a resale flat, they can receive up to $115,000 in housing grants comprising the revised EHG of up to $60,000, a CPF Housing Grant of up to $40,000, and a PHG of up to $15,000. The information provided was accurate at the time of publication. For the latest updates and changes, you can check the official website.  Source: Enhanced CPF Housing Grant (EHG)  https://www.99.co/singapore/glossary/enhanced-cpf-housing-grant-ehg/  (index: Enhanced CPF Housing Grant (EHG))",CPF|HEHG
term.a_unit_or_house_number,a unit or house number,Other,"An assigned number, along with the street name, creates a distinct address for identification purposes. A typical house address in Singapore consists of the [House Number], [Street Name], [# Unit Number, if applicable], and Singapore [Postal Code].  Source: Unit number application  https://www.99.co/singapore/glossary/unit-number-application/  (index: Unit number application)",What is a unit or house number?
term.a_unit_number_application_in_singapore,a unit number application in Singapore,Other,"Under the Property Tax Act, the Inland Revenue Authority of Singapore (IRAS) can assign and modify the house and unit numbers for properties. Property developers, owners, or their designated representatives must seek authorisation from IRAS to allocate and display unique property addresses. Each house and unit number should be prominently displayed at a visible location. According to the Property Tax Act, the use of unauthorised numbers is considered as violation.  Source: Unit number application  https://www.99.co/singapore/glossary/unit-number-application/  (index: Unit number application)",What is a unit number application in Singapore?
term.how_to_apply_for_a_unit_number_in_singapore,How to apply for a unit number in Singapore,Other,"Owners, property developers, or their authorised representatives can use the Property Name and Address Digital Service to request a house and/or unit number. It is required to gather all information and documents before proceeding with the application is important. Once the application is submitted with all the necessary details, IRAS typically takes around 4 weeks to process it. Upon successful processing, IRAS will issue the applicant a Certificate of Numbering (CON). The CON will specify the list of allocated numbers for the property.  Source: Unit number application  https://www.99.co/singapore/glossary/unit-number-application/  (index: Unit number application)",HS
term.main_things_that_must_be_considered_when_applying_for_a_unit_number,main things that must be considered when applying for a unit number,Other,"When applying for a unit number, it is essential to ensure that the house and unit numbers facilitate easy identification and location by emergency personnel, delivery services, and the general public. A desirable house or unit number should: • Be relevant and correspond to the street where the main entrance/frontage is located. • Follow a sequential numbering system that aligns with the overall numbering plan for the building and street. • Prevent any potential confusion with other buildings or units in different areas of Singapore.  Source: Unit number application  https://www.99.co/singapore/glossary/unit-number-application/  (index: Unit number application)",What are the main things that must be considered when applying for a unit number?
term.a_power_of_attorney_poa,a Power of Attorney (POA),Legal&Docs,"A Power of Attorney (POA) is a legal instrument in which one person delegates authority to another. It is often used for legal transactions like purchasing, selling, or renting real estate. The donor is the individual who created the document, while the person authorised to act on behalf of the person granting the POA is called the donee.  Source: Power of Attorney (POA)  https://www.99.co/singapore/glossary/power-of-attorney-poa/  (index: Power of Attorney (POA))",What is a Power of Attorney (POA)?|a Power of Attorney|POA|PA
term.when_to_use_the_power_of_attorney_poa,When to use the Power of Attorney (POA),Legal&Docs,"A POA might be necessary if someone travels often, works overseas, or lives outside Singapore and cannot handle legal affairs, such as property sales, purchases, or rentals.  Source: Power of Attorney (POA)  https://www.99.co/singapore/glossary/power-of-attorney-poa/  (index: Power of Attorney (POA))",When to use the Power of Attorney|POA|WPA
term.how_do_i_set_up_power_of_attorney_in_singapore,How do I set up power of attorney in Singapore,Legal&Docs,Source: Power of Attorney (POA)  https://www.99.co/singapore/glossary/power-of-attorney-poa/  (index: Power of Attorney (POA)),HS
